港台,#genre#
中视新闻HD,https://raw.githubusercontent.com/zzzshanghai/iptv/main/twctvnews.m3u8
中视新闻HD,https://raw.githubusercontent.com/zzzshanghai/iptv/main/chinatvnews.m3u8
台视新闻HD,https://raw.githubusercontent.com/zzzshanghai/iptv/main/TTV_NEWS.m3u8
民视新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/FTV_News.m3u8
公视新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/PNNPTS.m3u8
东森新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/newsebc.m3u8
东森财经新闻HD,https://raw.githubusercontent.com/zzzshanghai/iptv/main/57ETFN.m3u8
中天新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/中天電視CtiTv.m3u8
中天2台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/ctiplusnews.m3u8
中天亚洲台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/中天亞洲台CtiAsia.m3u8
TVBS NEWS,https://raw.githubusercontent.com/zzzshanghai/iptv/main/TVBSNEWS01.m3u8
TVBS选新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/TVBSNEWS02.m3u8
三立新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/setnews.m3u8
三立iNEWS,https://raw.githubusercontent.com/zzzshanghai/iptv/main/setinews.m3u8
寰宇新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/globalnewstw.m3u8
寰宇财经台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/globlemoney.m3u8
镜新闻,https://raw.githubusercontent.com/zzzshanghai/iptv/main/mnews-tw.m3u8
新唐人亚太电视台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/NTDAPTV.m3u
大爱1台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/DaAiVideo.m3u8
大爱2台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/DaAiVideo2.m3u8
凤凰卫视资讯台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/phoenixtvhk.m3u8
凤凰卫视资讯台,https://raw.githubusercontent.com/zzzshanghai/iptv/main/phoenixtvnews7060.m3u8
